gatefrom,gateto,count,hasEntryExit,hasTollbooth,hasServiceArea,posfrom,posto,highwayidfrom,highwayidto
16,4,4948871,true,false,true,60.5,46.5,1,1
10,18,4548321,true,false,false,54.5,66.8,1,1
20,2,4526667,true,false,true,88.4,74.6,1,1
8,3,4222884,false,false,false,117.8,124.7,1,1
1,12,4193570,false,false,false,124.7,113.8,1,1
25,20,4151760,true,false,false,106.1,88.4,1,1
18,23,4049621,false,false,true,66.8,80.8,1,1
15,5,3944698,true,false,false,98.4,106.1,1,1
2,16,3937486,false,false,false,74.6,60.5,1,1
3,13,3589947,true,false,false,124.7,134.5,1,1
5,8,3528728,true,false,true,106.1,117.8,1,1
23,15,3415773,true,false,false,80.8,98.4,1,1
22,1,3076476,true,true,false,135.3,124.7,1,1
12,25,2653574,true,false,true,113.8,106.1,1,1
26,10,2582018,true,false,true,48.5,54.5,1,1
13,22,2503398,,,,,,,
9,26,2297265,true,false,false,31.8,48.5,1,1
5,14,2026739,false,false,true,106.1,9.2,1,3
7,17,1865294,,,,,,,
4,9,1737380,,,,,,,
23,5,1636960,true,false,false,80.8,106.1,1,1
6,24,1582322,,,,,,,
11,19,1525032,true,false,true,16.6,3.2,3,3
14,19,1509236,,,,,,,
12,14,1450051,,,,,,,
19,25,1328048,false,false,true,3.2,106.1,3,1
17,7,1268752,,,,,,,
24,6,1224877,,,,,,,
19,8,1179285,,,,,,,
9,10,1096815,true,false,true,31.8,54.5,1,1
12,20,1087179,true,false,true,113.8,88.4,1,1
4,10,1081997,,,,,,,
14,11,1045751,,,,,,,
2,7,969126,,,,,,,
17,23,904535,,,,,,,
20,16,888295,true,false,true,88.4,60.5,1,1
21,21,868334,,,,,,,
8,12,861907,,,,,,,
27,9,817428,true,true,false,22.6,31.8,1,1
3,1,792111,,,,,,,
7,6,780315,true,true,true,2.7,46.2,2,2
10,23,738610,true,false,true,54.5,80.8,1,1
24,17,724664,true,true,true,46.2,2.7,2,2
13,1,698137,,,,,,,
21,27,641041,,,,,,,
2,4,547531,true,false,true,74.6,46.5,1,1
19,20,526109,true,false,true,3.2,88.4,3,1
18,7,525701,false,false,true,66.8,2.7,1,2
27,27,506053,,,,,,,
17,16,499374,false,false,true,2.7,60.5,2,1
26,18,492567,true,false,true,48.5,66.8,1,1
25,2,472277,true,false,true,106.1,74.6,1,1
18,15,459014,true,false,true,66.8,98.4,1,1
4,27,457046,,,,,,,
4,21,453023,true,true,false,46.5,20.8,1,1
4,26,436773,,,,,,,
23,2,383792,,,,,,,
7,7,364367,,,,,,,
9,9,354071,,,,,,,
24,24,349421,,,,,,,
11,25,346222,true,false,true,16.6,106.1,3,1
12,8,340441,,,,,,,
18,5,325475,true,false,true,66.8,106.1,1,1
27,21,322624,,,,,,,
3,22,321356,,,,,,,
19,14,313737,,,,,,,
1,3,293021,,,,,,,
8,13,286628,true,false,false,117.8,134.5,1,1
21,9,271304,,,,,,,
9,18,269673,true,false,true,31.8,66.8,1,1
15,8,267350,true,false,true,98.4,117.8,1,1
20,15,266180,,,,,,,
16,9,263641,,,,,,,
13,12,261263,,,,,,,
5,3,256342,true,false,true,106.1,124.7,1,1
16,10,248018,,,,,,,
20,5,238103,,,,,,,
4,24,232358,true,true,true,46.5,46.2,1,2
27,10,226259,true,true,true,22.6,54.5,1,1
22,12,220168,true,true,false,135.3,113.8,1,1
6,6,219708,,,,,,,
5,25,218032,,,,,,,
14,8,216211,,,,,,,
20,4,215087,true,false,true,88.4,46.5,1,1
25,5,211802,,,,,,,
18,16,195833,,,,,,,
4,18,195721,,,,,,,
10,4,193838,,,,,,,
10,15,192951,true,false,true,54.5,98.4,1,1
1,25,191589,true,false,true,124.7,106.1,1,1
14,25,187354,,,,,,,
23,8,185113,true,false,true,80.8,117.8,1,1
20,7,182010,,,,,,,
25,16,181787,true,false,true,106.1,60.5,1,1
17,17,175854,,,,,,,
14,14,171706,,,,,,,
15,14,164383,true,false,true,98.4,9.2,1,3
12,2,162714,true,false,true,113.8,74.6,1,1
8,22,157750,,,,,,,
6,9,154389,true,true,true,46.2,31.8,2,1
11,8,149390,,,,,,,
16,18,148575,,,,,,,
22,13,145563,,,,,,,
8,1,141901,,,,,,,
7,24,140948,,,,,,,
11,20,138643,true,false,true,16.6,88.4,3,1
3,12,135575,,,,,,,
10,7,133454,true,false,true,54.5,2.7,1,2
9,27,130423,true,true,false,31.8,22.6,1,1
10,5,130160,true,false,true,54.5,106.1,1,1
1,20,126161,true,false,true,124.7,88.4,1,1
27,26,120373,true,true,false,22.6,48.5,1,1
22,22,119970,,,,,,,
9,21,119306,,,,,,,
15,20,117005,,,,,,,
5,20,116154,,,,,,,
1,14,111943,,,,,,,
5,11,111296,,,,,,,
5,12,111019,,,,,,,
26,4,103357,,,,,,,
23,14,103136,true,false,true,80.8,9.2,1,3
26,23,102410,true,false,true,48.5,80.8,1,1
2,23,100296,,,,,,,
17,15,99577,,,,,,,
13,13,99338,,,,,,,
4,23,97789,,,,,,,
4,4,97520,,,,,,,
12,16,97044,true,false,true,113.8,60.5,1,1
19,19,94683,,,,,,,
5,19,92835,,,,,,,
7,23,92674,,,,,,,
23,16,91800,,,,,,,
16,26,91217,,,,,,,
12,19,89967,,,,,,,
9,23,88550,true,false,true,31.8,80.8,1,1
19,3,87864,,,,,,,
14,12,86971,,,,,,,
24,23,86234,,,,,,,
1,1,85464,,,,,,,
6,17,85058,,,,,,,
5,13,81751,true,false,true,106.1,134.5,1,1
6,10,79593,true,true,true,46.2,54.5,2,1
17,4,79495,true,false,true,2.7,46.5,2,1
9,4,79479,,,,,,,
7,16,77807,,,,,,,
14,6,77732,,,,,,,
14,20,77702,,,,,,,
2,9,75475,,,,,,,
19,2,75278,true,false,true,3.2,74.6,3,1
18,8,74909,true,false,true,66.8,117.8,1,1
11,11,74467,,,,,,,
14,1,72924,,,,,,,
8,25,72841,,,,,,,
25,4,71648,true,false,true,106.1,46.5,1,1
2,10,69803,,,,,,,
23,7,69498,,,,,,,
16,21,68069,true,true,true,60.5,20.8,1,1
10,16,67609,,,,,,,
23,20,66772,,,,,,,
8,20,66760,,,,,,,
3,3,66733,,,,,,,
6,27,65144,true,true,true,46.2,22.6,2,1
16,23,64527,,,,,,,
16,27,63520,,,,,,,
14,5,62781,false,false,true,9.2,106.1,3,1
20,9,60510,,,,,,,
12,11,60455,,,,,,,
20,10,59775,,,,,,,
1,8,59506,,,,,,,
19,5,58859,,,,,,,
14,17,56812,,,,,,,
13,3,56801,true,false,false,134.5,124.7,1,1
12,12,55852,,,,,,,
24,7,55171,,,,,,,
14,22,54871,,,,,,,
12,3,54519,,,,,,,
26,15,54157,true,false,true,48.5,98.4,1,1
4,5,53791,,,,,,,
1,22,53281,true,true,false,124.7,135.3,1,1
20,23,53126,,,,,,,
21,24,53001,true,true,true,20.8,46.2,1,2
9,5,52985,true,false,true,31.8,106.1,1,1
14,3,52855,,,,,,,
4,11,52418,true,false,true,46.5,16.6,1,3
11,14,51705,,,,,,,
15,3,51240,true,false,true,98.4,124.7,1,1
12,1,51239,false,false,false,113.8,124.7,1,1
2,18,51091,,,,,,,
12,5,50614,,,,,,,
18,2,50517,,,,,,,
13,25,49836,,,,,,,
13,20,49665,,,,,,,
12,4,49289,true,false,true,113.8,46.5,1,1
17,5,49199,,,,,,,
10,8,48785,true,false,true,54.5,117.8,1,1
18,4,48742,,,,,,,
8,8,48452,,,,,,,
21,10,48377,,,,,,,
4,12,47740,true,false,true,46.5,113.8,1,1
23,3,46995,true,false,true,80.8,124.7,1,1
9,15,46952,true,false,true,31.8,98.4,1,1
5,1,46740,,,,,,,
24,19,46617,,,,,,,
23,23,45674,,,,,,,
20,18,45489,,,,,,,
22,25,45044,true,true,true,135.3,106.1,1,1
4,16,43445,true,false,true,46.5,60.5,1,1
1,2,43167,true,false,true,124.7,74.6,1,1
5,22,42855,,,,,,,
3,8,42773,false,false,false,124.7,117.8,1,1
4,15,42769,,,,,,,
18,14,42493,true,false,true,66.8,9.2,1,3
14,9,42326,true,false,true,9.2,31.8,3,1
7,19,42129,,,,,,,
17,2,41302,,,,,,,
11,2,41229,true,false,true,16.6,74.6,3,1
14,16,41191,,,,,,,
1,13,40850,,,,,,,
22,20,40119,true,true,true,135.3,88.4,1,1
9,24,40026,,,,,,,
4,22,39946,true,true,true,46.5,135.3,1,1
8,19,39842,,,,,,,
5,5,39820,,,,,,,
7,9,39796,true,false,true,2.7,31.8,2,1
19,16,39709,true,false,true,3.2,60.5,3,1
16,5,39366,,,,,,,
4,17,39332,true,false,true,46.5,2.7,1,2
20,14,39209,,,,,,,
6,26,39134,true,true,true,46.2,48.5,2,1
19,11,38984,true,false,true,3.2,16.6,3,3
10,10,38832,,,,,,,
16,24,38705,true,true,true,60.5,46.2,1,2
7,8,38596,,,,,,,
25,15,38338,,,,,,,
2,26,37865,,,,,,,
8,14,37494,,,,,,,
23,12,36856,,,,,,,
7,4,36722,,,,,,,
13,9,36465,true,false,true,134.5,31.8,1,1
13,8,35851,true,false,false,134.5,117.8,1,1
13,11,35728,,,,,,,
23,25,35490,,,,,,,
10,9,35125,true,false,true,54.5,31.8,1,1
26,5,34586,true,false,true,48.5,106.1,1,1
15,12,34457,,,,,,,
8,11,34438,,,,,,,
5,2,34317,,,,,,,
19,12,34002,,,,,,,
2,15,33700,,,,,,,
12,22,33650,true,true,false,113.8,135.3,1,1
20,19,33492,true,false,true,88.4,3.2,1,3
24,9,32848,,,,,,,
2,17,32816,,,,,,,
14,2,32635,,,,,,,
4,8,32588,,,,,,,
24,16,32350,true,true,true,46.2,60.5,2,1
3,20,32308,,,,,,,
2,5,32211,,,,,,,
20,20,32168,,,,,,,
2,6,31882,,,,,,,
23,22,31849,,,,,,,
3,19,31845,,,,,,,
15,2,31833,,,,,,,
11,3,31806,,,,,,,
23,13,31754,true,false,true,80.8,134.5,1,1
16,15,31732,,,,,,,
1,16,31664,true,false,true,124.7,60.5,1,1
14,15,31555,true,false,true,9.2,98.4,3,1
4,20,31346,true,false,true,46.5,88.4,1,1
25,7,31244,,,,,,,
13,19,31195,,,,,,,
15,25,31173,,,,,,,
23,4,31149,,,,,,,
11,16,30974,true,false,true,16.6,60.5,3,1
3,25,30943,,,,,,,
9,8,30804,true,false,true,31.8,117.8,1,1
4,7,30418,,,,,,,
25,14,30391,,,,,,,
17,6,30077,,,,,,,
20,8,30039,,,,,,,
8,2,29993,,,,,,,
18,17,29901,,,,,,,
3,14,29795,,,,,,,
14,10,29636,true,false,true,9.2,54.5,3,1
21,26,29407,,,,,,,
15,13,29301,true,false,true,98.4,134.5,1,1
4,6,29273,,,,,,,
7,10,29168,true,false,true,2.7,54.5,2,1
4,1,29091,true,false,true,46.5,124.7,1,1
24,11,29074,,,,,,,
16,16,28856,,,,,,,
8,9,28698,true,false,true,117.8,31.8,1,1
1,19,28619,,,,,,,
12,17,28547,,,,,,,
22,3,28531,,,,,,,
5,16,28408,,,,,,,
4,2,27976,true,false,true,46.5,74.6,1,1
23,19,27958,,,,,,,
5,9,27807,true,false,true,106.1,31.8,1,1
25,10,27708,,,,,,,
12,9,27681,,,,,,,
13,10,27462,true,false,true,134.5,54.5,1,1
18,3,27335,true,false,true,66.8,124.7,1,1
26,9,27244,true,false,false,48.5,31.8,1,1
27,18,26968,true,true,true,22.6,66.8,1,1
20,26,26451,,,,,,,
24,8,25949,,,,,,,
10,14,25828,true,false,true,54.5,9.2,1,3
19,1,25740,,,,,,,
18,10,25646,true,false,false,66.8,54.5,1,1
5,10,25428,true,false,true,106.1,54.5,1,1
13,2,25418,,,,,,,
23,11,25348,,,,,,,
9,7,24896,true,false,true,31.8,2.7,1,2
6,7,24837,true,true,true,46.2,2.7,2,2
18,20,24808,,,,,,,
4,25,24680,true,false,true,46.5,106.1,1,1
18,9,24678,true,false,true,66.8,31.8,1,1
16,12,24430,true,false,true,60.5,113.8,1,1
11,5,24351,,,,,,,
13,14,24186,,,,,,,
20,25,24138,true,false,false,88.4,106.1,1,1
23,10,24051,true,false,true,80.8,54.5,1,1
9,16,23868,,,,,,,
12,10,23696,,,,,,,
8,16,23549,,,,,,,
14,24,23464,,,,,,,
22,2,23365,true,true,true,135.3,74.6,1,1
17,24,23214,true,true,true,2.7,46.2,2,2
20,12,23161,true,false,true,88.4,113.8,1,1
19,13,23132,,,,,,,
15,11,23130,,,,,,,
20,11,22951,true,false,true,88.4,16.6,1,3
4,19,22853,true,false,true,46.5,3.2,1,3
10,2,22670,,,,,,,
25,19,22664,false,false,true,106.1,3.2,1,3
7,11,22630,,,,,,,
8,10,22569,true,false,true,117.8,54.5,1,1
2,2,22423,,,,,,,
25,25,22366,,,,,,,
8,5,22221,true,false,true,117.8,106.1,1,1
19,4,22212,true,false,true,3.2,46.5,3,1
15,19,22124,,,,,,,
25,8,22103,,,,,,,
25,23,22031,,,,,,,
10,17,21997,,,,,,,
25,9,21890,,,,,,,
22,14,21872,,,,,,,
16,7,21865,,,,,,,
12,6,21863,,,,,,,
16,20,21757,true,false,true,60.5,88.4,1,1
7,15,21539,,,,,,,
23,9,21522,true,false,true,80.8,31.8,1,1
18,12,21518,,,,,,,
12,7,21484,,,,,,,
23,1,21445,,,,,,,
1,4,21328,true,false,true,124.7,46.5,1,1
24,4,21266,true,true,true,46.2,46.5,2,1
4,3,21208,,,,,,,
16,8,21113,,,,,,,
13,16,21094,,,,,,,
12,13,20922,,,,,,,
18,18,20658,,,,,,,
12,15,20558,,,,,,,
25,18,20399,,,,,,,
18,13,20377,true,false,true,66.8,134.5,1,1
4,14,20115,,,,,,,
12,23,20087,,,,,,,
5,4,19913,,,,,,,
10,3,19479,true,false,true,54.5,124.7,1,1
16,17,19468,false,false,true,60.5,2.7,1,2
7,2,19316,,,,,,,
14,13,19275,,,,,,,
18,19,19263,,,,,,,
5,15,19261,true,false,false,106.1,98.4,1,1
20,17,19009,,,,,,,
15,1,18979,,,,,,,
10,20,18843,,,,,,,
24,10,18789,,,,,,,
16,11,18694,true,false,true,60.5,16.6,1,3
3,2,18692,,,,,,,
5,18,18678,true,false,true,106.1,66.8,1,1
9,3,18659,true,false,true,31.8,124.7,1,1
5,23,18507,true,false,false,106.1,80.8,1,1
2,8,18216,,,,,,,
1,11,18175,,,,,,,
2,12,18099,true,false,true,74.6,113.8,1,1
18,6,18073,true,true,true,66.8,46.2,1,2
23,17,18031,,,,,,,
9,17,18020,,,,,,,
16,2,17975,false,false,false,60.5,74.6,1,1
11,4,17902,true,false,true,16.6,46.5,3,1
3,9,17885,true,false,true,124.7,31.8,1,1
10,27,17793,true,true,true,54.5,22.6,1,1
17,9,17734,,,,,,,
14,4,17730,,,,,,,
27,4,17599,,,,,,,
15,16,17567,,,,,,,
2,20,17538,true,false,true,74.6,88.4,1,1
10,12,17378,,,,,,,
27,24,17357,,,,,,,
8,4,17308,,,,,,,
26,8,17260,true,false,true,48.5,117.8,1,1
19,15,17196,,,,,,,
3,11,17146,,,,,,,
18,25,17128,,,,,,,
9,6,17094,true,true,true,31.8,46.2,1,2
12,18,17015,,,,,,,
13,5,16981,true,false,true,134.5,106.1,1,1
2,27,16941,,,,,,,
14,23,16873,true,false,true,9.2,80.8,3,1
22,23,16735,,,,,,,
23,18,16730,false,false,true,80.8,66.8,1,1
20,1,16676,true,false,true,88.4,124.7,1,1
6,23,16657,,,,,,,
19,22,16652,,,,,,,
24,15,16410,,,,,,,
15,22,16266,,,,,,,
9,20,16165,,,,,,,
10,26,16157,true,false,true,54.5,48.5,1,1
22,8,16155,,,,,,,
26,26,16120,,,,,,,
13,4,16070,,,,,,,
10,13,15985,true,false,true,54.5,134.5,1,1
25,12,15742,true,false,true,106.1,113.8,1,1
17,10,15731,,,,,,,
3,5,15706,true,false,true,124.7,106.1,1,1
22,16,15693,true,true,true,135.3,60.5,1,1
17,8,15664,,,,,,,
7,5,15595,,,,,,,
6,18,15566,true,true,true,46.2,66.8,2,1
4,13,15471,,,,,,,
26,7,15433,true,false,true,48.5,2.7,1,2
2,24,15300,,,,,,,
7,27,15120,true,true,true,2.7,22.6,2,1
7,12,15098,,,,,,,
6,21,15084,,,,,,,
15,15,14952,,,,,,,
9,12,14952,,,,,,,
7,26,14949,true,false,true,2.7,48.5,2,1
8,23,14945,true,false,true,117.8,80.8,1,1
14,7,14914,,,,,,,
11,12,14904,,,,,,,
16,1,14875,true,false,true,60.5,124.7,1,1
18,11,14792,,,,,,,
20,6,14767,,,,,,,
1,5,14739,,,,,,,
16,25,14711,true,false,true,60.5,106.1,1,1
1,10,14645,,,,,,,
1,9,14626,,,,,,,
15,9,14464,true,false,true,98.4,31.8,1,1
3,16,14439,,,,,,,
8,18,14311,true,false,true,117.8,66.8,1,1
5,6,14046,,,,,,,
16,14,13992,,,,,,,
12,26,13989,,,,,,,
7,25,13988,,,,,,,
14,18,13972,true,false,true,9.2,66.8,3,1
24,27,13865,,,,,,,
5,17,13854,,,,,,,
22,4,13712,true,true,true,135.3,46.5,1,1
13,18,13683,true,false,true,134.5,66.8,1,1
19,10,13663,,,,,,,
7,18,13629,false,false,true,2.7,66.8,2,1
14,26,13482,true,false,true,9.2,48.5,3,1
9,14,13456,true,false,true,31.8,9.2,1,3
16,3,13446,,,,,,,
18,1,13442,,,,,,,
16,22,13382,true,true,true,60.5,135.3,1,1
7,20,13327,,,,,,,
26,16,13325,,,,,,,
20,22,13219,true,true,true,88.4,135.3,1,1
17,18,13177,,,,,,,
6,4,13096,,,,,,,
9,2,13001,,,,,,,
25,11,12989,true,false,true,106.1,16.6,1,3
20,3,12964,,,,,,,
5,26,12957,true,false,true,106.1,48.5,1,1
2,21,12804,true,true,true,74.6,20.8,1,1
10,25,12802,,,,,,,
10,6,12757,true,true,true,54.5,46.2,1,2
13,23,12742,true,false,true,134.5,80.8,1,1
11,13,12722,,,,,,,
24,5,12641,,,,,,,
8,15,12577,true,false,true,117.8,98.4,1,1
13,26,12537,true,false,true,134.5,48.5,1,1
3,10,12477,true,false,true,124.7,54.5,1,1
23,6,12472,,,,,,,
15,4,12429,,,,,,,
18,26,12427,true,false,true,66.8,48.5,1,1
20,27,12417,,,,,,,
2,25,12255,true,false,true,74.6,106.1,1,1
15,10,12181,true,false,true,98.4,54.5,1,1
6,11,12122,,,,,,,
10,1,12061,,,,,,,
24,25,11989,,,,,,,
15,23,11935,true,false,false,98.4,80.8,1,1
23,26,11842,true,false,true,80.8,48.5,1,1
25,1,11831,true,false,true,106.1,124.7,1,1
19,23,11809,,,,,,,
14,27,11775,true,true,true,9.2,22.6,3,1
25,26,11732,,,,,,,
11,10,11725,,,,,,,
8,26,11630,true,false,true,117.8,48.5,1,1
21,4,11599,true,true,false,20.8,46.5,1,1
2,11,11527,true,false,true,74.6,16.6,1,3
27,23,11487,true,true,true,22.6,80.8,1,1
16,19,11442,true,false,true,60.5,3.2,1,3
18,22,11377,,,,,,,
10,19,11301,,,,,,,
20,24,11286,,,,,,,
3,4,11243,,,,,,,
19,9,11212,,,,,,,
19,18,11103,,,,,,,
2,14,11087,,,,,,,
2,3,10952,,,,,,,
2,1,10941,true,false,true,74.6,124.7,1,1
11,15,10910,,,,,,,
24,2,10845,,,,,,,
8,17,10800,,,,,,,
26,27,10767,true,true,false,48.5,22.6,1,1
9,1,10657,,,,,,,
16,13,10628,,,,,,,
15,18,10621,true,false,true,98.4,66.8,1,1
22,19,10608,,,,,,,
10,11,10583,,,,,,,
11,1,10359,,,,,,,
16,6,10350,,,,,,,
2,19,10287,true,false,true,74.6,3.2,1,3
1,23,10241,,,,,,,
11,18,10181,,,,,,,
21,18,10102,,,,,,,
9,11,10062,,,,,,,
20,13,9989,,,,,,,
1,18,9959,,,,,,,
13,15,9946,true,false,true,134.5,98.4,1,1
2,22,9861,true,true,true,74.6,135.3,1,1
10,24,9769,,,,,,,
22,10,9708,,,,,,,
24,20,9689,,,,,,,
9,13,9655,true,false,true,31.8,134.5,1,1
10,22,9653,,,,,,,
15,26,9643,true,false,true,98.4,48.5,1,1
24,26,9639,,,,,,,
25,3,9525,,,,,,,
18,27,9440,true,true,true,66.8,22.6,1,1
25,22,9332,true,true,true,106.1,135.3,1,1
9,25,9272,,,,,,,
24,12,9252,,,,,,,
6,19,9236,,,,,,,
27,15,9234,true,true,true,22.6,98.4,1,1
3,18,9058,true,false,true,124.7,66.8,1,1
26,3,9044,true,false,true,48.5,124.7,1,1
17,26,8952,,,,,,,
5,7,8944,,,,,,,
11,23,8915,,,,,,,
26,14,8861,true,false,true,48.5,9.2,1,3
17,27,8827,,,,,,,
3,15,8809,true,false,true,124.7,98.4,1,1
7,1,8796,,,,,,,
10,21,8724,,,,,,,
8,6,8679,,,,,,,
3,23,8670,true,false,true,124.7,80.8,1,1
26,12,8662,,,,,,,
6,16,8658,,,,,,,
20,21,8624,true,true,true,88.4,20.8,1,1
2,13,8623,,,,,,,
26,2,8606,,,,,,,
11,9,8465,,,,,,,
22,9,8368,,,,,,,
26,20,8334,,,,,,,
9,22,8295,,,,,,,
23,24,8242,,,,,,,
12,24,8168,,,,,,,
7,3,8122,,,,,,,
9,19,8095,,,,,,,
26,17,8032,,,,,,,
1,15,8028,,,,,,,
17,20,7893,,,,,,,
26,13,7810,true,false,true,48.5,134.5,1,1
18,24,7753,,,,,,,
5,24,7743,,,,,,,
13,17,7687,,,,,,,
8,7,7659,,,,,,,
22,18,7601,,,,,,,
17,19,7569,,,,,,,
1,7,7497,,,,,,,
7,22,7388,,,,,,,
11,22,7341,,,,,,,
22,5,7301,,,,,,,
6,8,7209,,,,,,,
13,27,7149,true,true,true,134.5,22.6,1,1
3,26,6998,true,false,true,124.7,48.5,1,1
22,11,6958,,,,,,,
21,17,6954,true,true,true,20.8,2.7,1,2
25,17,6909,,,,,,,
26,21,6869,,,,,,,
24,18,6865,,,,,,,
25,13,6845,,,,,,,
1,26,6810,,,,,,,
7,14,6798,,,,,,,
21,6,6666,,,,,,,
24,21,6615,true,true,true,46.2,20.8,2,1
21,23,6575,,,,,,,
5,27,6428,true,true,true,106.1,22.6,1,1
26,6,6407,true,true,true,48.5,46.2,1,2
13,7,6404,,,,,,,
21,11,6380,true,true,true,20.8,16.6,1,3
27,5,6359,true,true,true,22.6,106.1,1,1
19,26,6338,,,,,,,
1,17,6337,,,,,,,
13,6,6311,,,,,,,
15,17,6260,,,,,,,
17,12,6241,,,,,,,
23,27,6114,true,true,true,80.8,22.6,1,1
15,7,6076,,,,,,,
26,24,6060,,,,,,,
6,12,6034,,,,,,,
24,3,5959,,,,,,,
6,15,5922,,,,,,,
13,24,5916,,,,,,,
8,24,5889,,,,,,,
6,5,5872,,,,,,,
25,6,5865,,,,,,,
17,3,5749,,,,,,,
7,21,5735,,,,,,,
27,7,5717,true,true,true,22.6,2.7,1,2
12,27,5709,,,,,,,
1,6,5686,,,,,,,
17,14,5605,,,,,,,
3,17,5550,,,,,,,
22,26,5506,,,,,,,
8,27,5482,true,true,true,117.8,22.6,1,1
6,2,5469,,,,,,,
26,25,5469,,,,,,,
19,7,5406,,,,,,,
21,16,5391,true,true,true,20.8,60.5,1,1
22,15,5388,,,,,,,
24,14,5354,,,,,,,
17,25,5295,,,,,,,
26,1,5163,,,,,,,
27,16,5095,,,,,,,
25,27,5084,,,,,,,
24,1,5081,,,,,,,
17,21,5037,true,true,true,2.7,20.8,2,1
27,6,4962,true,true,true,22.6,46.2,1,2
6,20,4850,,,,,,,
15,6,4837,,,,,,,
3,7,4803,,,,,,,
27,17,4780,,,,,,,
21,15,4771,,,,,,,
21,7,4517,,,,,,,
6,25,4429,,,,,,,
24,22,4376,,,,,,,
6,22,4363,,,,,,,
26,22,4361,,,,,,,
19,17,4320,,,,,,,
11,26,4310,,,,,,,
25,24,4308,,,,,,,
19,6,4291,,,,,,,
11,6,4250,,,,,,,
26,11,4250,,,,,,,
17,11,4247,,,,,,,
21,12,4188,true,true,true,20.8,113.8,1,1
17,1,4087,,,,,,,
3,6,4048,,,,,,,
6,1,4024,,,,,,,
26,19,3997,,,,,,,
15,27,3955,true,true,true,98.4,22.6,1,1
21,22,3874,true,true,true,20.8,135.3,1,1
1,24,3660,,,,,,,
21,5,3621,,,,,,,
17,22,3504,,,,,,,
27,8,3484,true,true,true,22.6,117.8,1,1
3,27,3418,true,true,true,124.7,22.6,1,1
7,13,3376,,,,,,,
15,24,3362,,,,,,,
17,13,3361,,,,,,,
21,2,3327,true,true,true,20.8,74.6,1,1
11,17,3293,,,,,,,
12,21,3278,true,true,true,113.8,20.8,1,1
21,19,3261,true,true,true,20.8,3.2,1,3
3,24,3259,,,,,,,
25,21,3238,true,true,true,106.1,20.8,1,1
21,20,3173,true,true,true,20.8,88.4,1,1
1,27,3166,,,,,,,
6,3,3008,,,,,,,
18,21,2897,,,,,,,
21,1,2870,true,true,true,20.8,124.7,1,1
21,8,2853,,,,,,,
6,14,2833,,,,,,,
11,7,2648,,,,,,,
19,27,2604,,,,,,,
19,24,2578,,,,,,,
24,13,2567,,,,,,,
22,7,2553,,,,,,,
27,20,2468,,,,,,,
27,2,2445,,,,,,,
14,21,2396,,,,,,,
22,17,2269,,,,,,,
27,12,2236,,,,,,,
23,21,2168,,,,,,,
22,6,2149,,,,,,,
27,14,2047,true,true,true,22.6,9.2,1,3
19,21,2026,true,true,true,3.2,20.8,3,1
11,24,1961,,,,,,,
21,3,1881,,,,,,,
22,27,1856,,,,,,,
27,3,1786,true,true,true,22.6,124.7,1,1
6,13,1778,,,,,,,
11,27,1755,,,,,,,
27,1,1699,,,,,,,
21,25,1633,true,true,true,20.8,106.1,1,1
22,24,1584,,,,,,,
27,19,1550,,,,,,,
21,14,1529,,,,,,,
5,21,1523,,,,,,,
27,11,1494,,,,,,,
1,21,1475,true,true,true,124.7,20.8,1,1
27,13,1417,true,true,true,22.6,134.5,1,1
27,25,1402,,,,,,,
27,22,1388,,,,,,,
15,21,1352,,,,,,,
21,13,1332,,,,,,,
8,21,1293,,,,,,,
13,21,1271,,,,,,,
11,21,1248,true,true,true,16.6,20.8,3,1
3,21,1069,,,,,,,
22,21,875,true,true,true,135.3,20.8,1,1
